Fichier, Mémoire, Temps, Nombre noeuds internes, Nombre moyen clés par noeud
tests/donnee100.txt,203562.000000,0.000069,100,1, 100
tests/donnee100.txt,203562.000000,0.000045,100,1, 100
tests/donnee100.txt,203562.000000,0.000071,100,1, 100
tests/donnee100.txt,203562.000000,0.000068,100,1, 100
tests/donnee100.txt,203562.000000,0.000068,100,1, 100
tests/donnee100.txt,203562.000000,0.000066,100,1, 100
tests/donnee100.txt,203562.000000,0.000114,100,1, 100
tests/donnee100.txt,203562.000000,0.000090,100,1, 100
tests/donnee100.txt,203562.000000,0.000068,100,1, 100
tests/donnee100.txt,203562.000000,0.000045,100,1, 100
tests/donnee100.txt,203562.000000,0.000069,100,1, 100
tests/donnee100.txt,203562.000000,0.000083,100,1, 100
tests/donnee100.txt,203562.000000,0.000080,100,1, 100
tests/donnee100.txt,203562.000000,0.000068,100,1, 100
tests/donnee100.txt,203562.000000,0.000068,100,1, 100
tests/donnee100.txt,203562.000000,0.000068,100,1, 100
tests/donnee100.txt,203562.000000,0.000067,100,1, 100
tests/donnee100.txt,203562.000000,0.000068,100,1, 100
tests/donnee100.txt,203562.000000,0.000068,100,1, 100
tests/donnee100.txt,203562.000000,0.000073,100,1, 100
tests/donnee100.txt,203562.000000,0.000063,100,1, 100
tests/donnee100.txt,203562.000000,0.000073,100,1, 100
tests/donnee100.txt,203562.000000,0.000071,100,1, 100
tests/donnee100.txt,203562.000000,0.000068,100,1, 100
tests/donnee100.txt,203562.000000,0.000068,100,1, 100
tests/donnee100.txt,203562.000000,0.000068,100,1, 100
tests/donnee100.txt,203562.000000,0.000068,100,1, 100
tests/donnee100.txt,203562.000000,0.000068,100,1, 100
tests/donnee100.txt,203562.000000,0.000068,100,1, 100
tests/donnee100.txt,203562.000000,0.000068,100,1, 100
tests/donnee100.txt,203562.000000,0.000067,100,1, 100
tests/donnee100.txt,203562.000000,0.000081,100,1, 100
tests/donnee100.txt,203562.000000,0.000068,100,1, 100
tests/donnee100.txt,203562.000000,0.000071,100,1, 100
tests/donnee100.txt,203562.000000,0.000068,100,1, 100
