Fichier, Memoire, Temps moyen pour 100 recherches, Nombre de noeuds, Moyenne clé/noeud, Valeur la plus profonde
tests/donnee100.txt,1000,0.000019,100,1,100
tests/donnee150.txt,1500,0.000003,150,1,35
tests/donnee500.txt,5000,0.000005,500,1,90
tests/donnee750.txt,7500,0.000003,750,1,143
tests/donnee1000.txt,10000,0.000058,1000,1,1000
tests/donnee10000.txt,100000,0.000003,10000,1,1960
tests/donnee50000.txt,500000,0.000003,50000,1,7572
tests/size100/random100_1.txt,1000,0.000004,100,1,27
tests/size100/random100_2.txt,1000,0.000003,100,1,57
tests/size100/random100_3.txt,1000,0.000002,100,1,52
tests/size100/random100_4.txt,1000,0.000003,100,1,87
tests/size100/random100_5.txt,1000,0.000003,100,1,61
tests/size100/random100_6.txt,1000,0.000002,100,1,21
tests/size100/random100_7.txt,1000,0.000003,100,1,51
tests/size100/random100_8.txt,1000,0.000003,100,1,46
tests/size100/random100_9.txt,1000,0.000003,100,1,40
tests/size150/random150_1.txt,1500,0.000002,150,1,62
tests/size150/random150_2.txt,1500,0.000002,150,1,138
tests/size150/random150_3.txt,1500,0.000003,150,1,99
tests/size150/random150_4.txt,1500,0.000004,150,1,94
tests/size150/random150_5.txt,1500,0.000003,150,1,47
tests/size150/random150_6.txt,1500,0.000004,150,1,31
tests/size150/random150_7.txt,1500,0.000003,150,1,143
tests/size150/random150_8.txt,1500,0.000003,150,1,119
tests/size150/random150_9.txt,1500,0.000002,150,1,125
tests/size250/random250_1.txt,2500,0.000005,250,1,22
tests/size250/random250_2.txt,2500,0.000002,250,1,197
tests/size250/random250_3.txt,2500,0.000003,250,1,188
tests/size250/random250_4.txt,2500,0.000004,250,1,35
tests/size250/random250_5.txt,2500,0.000005,250,1,126
tests/size250/random250_6.txt,2500,0.000004,250,1,113
tests/size250/random250_7.txt,2500,0.000004,250,1,195
tests/size250/random250_8.txt,2500,0.000003,250,1,163
tests/size250/random250_9.txt,2500,0.000004,250,1,143
tests/size500/random500_1.txt,5000,0.000004,500,1,453
tests/size500/random500_2.txt,5000,0.000002,500,1,413
tests/size500/random500_3.txt,5000,0.000004,500,1,423
tests/size500/random500_4.txt,5000,0.000005,500,1,355
tests/size500/random500_5.txt,5000,0.000004,500,1,406
tests/size500/random500_6.txt,5000,0.000004,500,1,171
tests/size500/random500_7.txt,5000,0.000004,500,1,233
tests/size500/random500_8.txt,5000,0.000005,500,1,364
tests/size500/random500_9.txt,5000,0.000005,500,1,91
tests/size750/random750_1.txt,7500,0.000002,750,1,726
tests/size750/random750_2.txt,7500,0.000004,750,1,229
tests/size750/random750_3.txt,7500,0.000005,750,1,363
tests/size750/random750_4.txt,7500,0.000004,750,1,125
tests/size750/random750_5.txt,7500,0.000004,750,1,355
tests/size750/random750_6.txt,7500,0.000005,750,1,219
tests/size750/random750_7.txt,7500,0.000004,750,1,44
tests/size750/random750_8.txt,7500,0.000006,750,1,484
tests/size750/random750_9.txt,7500,0.000002,750,1,161
tests/size1000/random1000_1.txt,10000,0.000005,1000,1,625
tests/size1000/random1000_2.txt,10000,0.000005,1000,1,310
tests/size1000/random1000_3.txt,10000,0.000002,1000,1,674
tests/size1000/random1000_4.txt,10000,0.000002,1000,1,936
tests/size1000/random1000_5.txt,10000,0.000002,1000,1,42
tests/size1000/random1000_6.txt,10000,0.000005,1000,1,290
tests/size1000/random1000_7.txt,10000,0.000002,1000,1,438
tests/size1000/random1000_8.txt,10000,0.000005,1000,1,508
tests/size1000/random1000_9.txt,10000,0.000002,1000,1,476
tests/size2500/random2500_1.txt,25000,0.000003,2500,1,1697
tests/size2500/random2500_2.txt,25000,0.000005,2500,1,1499
tests/size2500/random2500_3.txt,25000,0.000002,2500,1,417
tests/size2500/random2500_4.txt,25000,0.000002,2500,1,1928
tests/size2500/random2500_5.txt,25000,0.000003,2500,1,1280
tests/size2500/random2500_6.txt,25000,0.000003,2500,1,1349
tests/size2500/random2500_7.txt,25000,0.000003,2500,1,481
tests/size2500/random2500_8.txt,25000,0.000002,2500,1,1885
tests/size2500/random2500_9.txt,25000,0.000002,2500,1,2047
tests/size5000/random5000_1.txt,50000,0.000002,5000,1,3125
tests/size5000/random5000_2.txt,50000,0.000005,5000,1,2442
tests/size5000/random5000_3.txt,50000,0.000003,5000,1,1741
tests/size5000/random5000_4.txt,50000,0.000003,5000,1,4485
tests/size5000/random5000_5.txt,50000,0.000006,5000,1,626
tests/size5000/random5000_6.txt,50000,0.000003,5000,1,3698
tests/size5000/random5000_7.txt,50000,0.000003,5000,1,3262
tests/size5000/random5000_8.txt,50000,0.000005,5000,1,1783
tests/size5000/random5000_9.txt,50000,0.000006,5000,1,3562
tests/size7500/random7500_1.txt,75000,0.000004,7500,1,3516
tests/size7500/random7500_2.txt,75000,0.000003,7500,1,3885
tests/size7500/random7500_3.txt,75000,0.000005,7500,1,3970
tests/size7500/random7500_4.txt,75000,0.000003,7500,1,4925
tests/size7500/random7500_5.txt,75000,0.000007,7500,1,1316
tests/size7500/random7500_6.txt,75000,0.000003,7500,1,1444
tests/size7500/random7500_7.txt,75000,0.000005,7500,1,5767
tests/size7500/random7500_8.txt,75000,0.000006,7500,1,3191
tests/size7500/random7500_9.txt,75000,0.000003,7500,1,6420
tests/size10000/random10000_1.txt,100000,0.000006,10000,1,5094
tests/size10000/random10000_2.txt,100000,0.000004,10000,1,3582
tests/size10000/random10000_3.txt,100000,0.000003,10000,1,4391
tests/size10000/random10000_4.txt,100000,0.000003,10000,1,1904
tests/size10000/random10000_5.txt,100000,0.000003,10000,1,5324
tests/size10000/random10000_6.txt,100000,0.000003,10000,1,2712
tests/size10000/random10000_7.txt,100000,0.000003,10000,1,6737
tests/size10000/random10000_8.txt,100000,0.000003,10000,1,1991
tests/size10000/random10000_9.txt,100000,0.000003,10000,1,544
tests/size25000/random25000_1.txt,250000,0.000004,25000,1,5208
tests/size25000/random25000_2.txt,250000,0.000003,25000,1,19801
tests/size25000/random25000_3.txt,250000,0.000008,25000,1,14709
tests/size25000/random25000_4.txt,250000,0.000003,25000,1,11619
tests/size25000/random25000_5.txt,250000,0.000008,25000,1,10756
tests/size25000/random25000_6.txt,250000,0.000003,25000,1,14919
tests/size25000/random25000_7.txt,250000,0.000006,25000,1,13078
tests/size25000/random25000_8.txt,250000,0.000007,25000,1,7508
tests/size25000/random25000_9.txt,250000,0.000005,25000,1,22978
tests/size50000/random50000_1.txt,500000,0.000003,50000,1,21992
tests/size50000/random50000_2.txt,500000,0.000008,50000,1,33485
tests/size50000/random50000_3.txt,500000,0.000008,50000,1,9271
tests/size50000/random50000_4.txt,500000,0.000004,50000,1,27175
tests/size50000/random50000_5.txt,500000,0.000009,50000,1,27138
tests/size50000/random50000_6.txt,500000,0.000005,50000,1,2205
tests/size50000/random50000_7.txt,500000,0.000004,50000,1,22480
tests/size50000/random50000_8.txt,500000,0.000003,50000,1,30930
tests/size50000/random50000_9.txt,500000,0.000004,50000,1,36320
