Fichier, Memoire, Temps moyen pour 100 recherches, Nombre de noeuds, Moyenne clé/noeud, Valeur la plus profonde
tests/size100/random100_1.txt,1942,0.000016,47,2.12766,27
tests/size100/random100_2.txt,1965,0.000009,48,2.08333,57
tests/size100/random100_3.txt,1869,0.000009,43,2.32558,52
tests/size100/random100_4.txt,1937,0.000010,47,2.12766,87
tests/size100/random100_5.txt,1820,0.000012,41,2.43902,61
tests/size100/random100_6.txt,1922,0.000009,45,2.22222,21
tests/size100/random100_7.txt,1851,0.000012,42,2.38095,51
tests/size100/random100_8.txt,1917,0.000018,46,2.17391,46
tests/size100/random100_9.txt,1890,0.000013,45,2.22222,40
tests/size150/random150_1.txt,2742,0.000020,63,2.38095,62
tests/size150/random150_2.txt,2764,0.000009,63,2.38095,138
tests/size150/random150_3.txt,2546,0.000016,55,2.72727,99
tests/size150/random150_4.txt,2775,0.000016,64,2.34375,94
tests/size150/random150_5.txt,2644,0.000011,59,2.54237,47
tests/size150/random150_6.txt,2922,0.000009,70,2.14286,31
tests/size150/random150_7.txt,2710,0.000013,61,2.45902,143
tests/size150/random150_8.txt,2719,0.000011,62,2.41935,119
tests/size150/random150_9.txt,2740,0.000017,63,2.38095,125
tests/size250/random250_1.txt,4384,0.000011,96,2.60417,22
tests/size250/random250_2.txt,4348,0.000010,95,2.63158,197
tests/size250/random250_3.txt,4285,0.000019,92,2.71739,188
tests/size250/random250_4.txt,4399,0.000015,97,2.57732,35
tests/size250/random250_5.txt,4334,0.000010,94,2.65957,126
tests/size250/random250_6.txt,4483,0.000016,100,2.5,113
tests/size250/random250_7.txt,4416,0.000015,97,2.57732,195
tests/size250/random250_8.txt,4331,0.000010,94,2.65957,163
tests/size250/random250_9.txt,4404,0.000016,97,2.57732,143
tests/size500/random500_1.txt,8305,0.000018,173,2.89017,453
tests/size500/random500_2.txt,8358,0.000009,173,2.89017,413
tests/size500/random500_3.txt,8341,0.000011,174,2.87356,423
tests/size500/random500_4.txt,8310,0.000014,173,2.89017,355
tests/size500/random500_5.txt,8545,0.000011,182,2.74725,406
tests/size500/random500_6.txt,8645,0.000012,185,2.7027,171
