Fichier, Memoire, Temps moyen pour 100 recherches, Nombre de noeuds, Moyenne clé/noeud, Valeur la plus profonde
tests/size100/random100_1.txt,983,0.000132,47,2.12766,27
tests/size100/random100_2.txt,987,0.000118,48,2.08333,57
tests/size100/random100_3.txt,959,0.000098,43,2.32558,52
tests/size100/random100_4.txt,976,0.000090,47,2.12766,87
tests/size100/random100_5.txt,947,0.000089,41,2.43902,61
tests/size100/random100_6.txt,972,0.000133,45,2.22222,21
tests/size100/random100_7.txt,957,0.000107,42,2.38095,51
tests/size100/random100_8.txt,979,0.000135,46,2.17391,46
tests/size100/random100_9.txt,969,0.000121,45,2.22222,40
tests/size150/random150_1.txt,1431,0.000106,63,2.38095,62
tests/size150/random150_2.txt,1432,0.000084,63,2.38095,138
tests/size150/random150_3.txt,1378,0.000100,55,2.72727,99
tests/size150/random150_4.txt,1423,0.000138,64,2.34375,94
tests/size150/random150_5.txt,1398,0.000100,59,2.54237,47
tests/size150/random150_6.txt,1470,0.000142,70,2.14286,31
tests/size150/random150_7.txt,1414,0.000117,61,2.45902,143
tests/size150/random150_8.txt,1423,0.000116,62,2.41935,119
tests/size150/random150_9.txt,1428,0.000114,63,2.38095,125
tests/size250/random250_1.txt,2300,0.000127,96,2.60417,22
tests/size250/random250_2.txt,2298,0.000120,95,2.63158,197
tests/size250/random250_3.txt,2288,0.000122,92,2.71739,188
tests/size250/random250_4.txt,2314,0.000108,97,2.57732,35
tests/size250/random250_5.txt,2295,0.000121,94,2.65957,126
tests/size250/random250_6.txt,2327,0.000131,100,2.5,113
tests/size250/random250_7.txt,2317,0.000125,97,2.57732,195
tests/size250/random250_8.txt,2297,0.000139,94,2.65957,163
tests/size250/random250_9.txt,2315,0.000149,97,2.57732,143
tests/size500/random500_1.txt,4470,0.000135,173,2.89017,453
tests/size500/random500_2.txt,4487,0.000099,173,2.89017,413
tests/size500/random500_3.txt,4481,0.000150,174,2.86782,423
tests/size500/random500_4.txt,4478,0.000134,173,2.89017,355
tests/size500/random500_5.txt,4545,0.000156,182,2.74725,406
tests/size500/random500_6.txt,4550,0.000135,185,2.7027,171
tests/size500/random500_7.txt,4492,0.000154,175,2.85714,233
tests/size500/random500_8.txt,4508,0.000158,180,2.77778,364
tests/size500/random500_9.txt,4532,0.000127,183,2.73224,91
tests/size750/random750_1.txt,6631,0.000142,251,2.98805,726
tests/size750/random750_2.txt,6650,0.000164,252,2.97619,229
tests/size750/random750_3.txt,6626,0.000175,250,2.996,363
tests/size750/random750_4.txt,6595,0.000114,247,3.02834,125
tests/size750/random750_5.txt,6656,0.000119,250,2.996,355
